StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:00+00:00Z,2023-01-01T00:00+00:00Z,10YPL-AREA-----S,MAW,B19,4251
2023-01-01T00:00+00:00Z,2023-01-01T01:00+00:00Z,10YPL-AREA-----S,MAW,B19,3125
2023-01-01T01:00+00:00Z,2023-01-01T02:00+00:00Z,10YPL-AREA-----S,MAW,B19,3487
2023-01-01T02:00+00:00Z,2023-01-01T03:00+00:00Z,10YPL-AREA-----S,MAW,B19,4258
2023-01-01T03:00+00:00Z,2023-01-01T04:00+00:00Z,10YPL-AREA-----S,MAW,B19,4474
2023-01-01T04:00+00:00Z,2023-01-01T05:00+00:00Z,10YPL-AREA-----S,MAW,B19,4497
2023-01-01T05:00+00:00Z,2023-01-01T06:00+00:00Z,10YPL-AREA-----S,MAW,B19,4566
2023-01-01T06:00+00:00Z,2023-01-01T07:00+00:00Z,10YPL-AREA-----S,MAW,B19,4338
2023-01-01T07:00+00:00Z,2023-01-01T08:00+00:00Z,10YPL-AREA-----S,MAW,B19,4223
2023-01-01T08:00+00:00Z,2023-01-01T09:00+00:00Z,10YPL-AREA-----S,MAW,B19,4156
2023-01-01T09:00+00:00Z,2023-01-01T10:00+00:00Z,10YPL-AREA-----S,MAW,B19,4525
2023-01-01T10:00+00:00Z,2023-01-01T11:00+00:00Z,10YPL-AREA-----S,MAW,B19,5247
2023-01-01T11:00+00:00Z,2023-01-01T12:00+00:00Z,10YPL-AREA-----S,MAW,B19,5709
2023-01-01T12:00+00:00Z,2023-01-01T13:00+00:00Z,10YPL-AREA-----S,MAW,B19,6466
2023-01-01T13:00+00:00Z,2023-01-01T14:00+00:00Z,10YPL-AREA-----S,MAW,B19,6702
2023-01-01T14:00+00:00Z,2023-01-01T15:00+00:00Z,10YPL-AREA-----S,MAW,B19,6506
2023-01-01T15:00+00:00Z,2023-01-01T16:00+00:00Z,10YPL-AREA-----S,MAW,B19,6116
2023-01-01T16:00+00:00Z,2023-01-01T17:00+00:00Z,10YPL-AREA-----S,MAW,B19,5601
2023-01-01T17:00+00:00Z,2023-01-01T18:00+00:00Z,10YPL-AREA-----S,MAW,B19,4832
2023-01-01T18:00+00:00Z,2023-01-01T19:00+00:00Z,10YPL-AREA-----S,MAW,B19,4240
2023-01-01T19:00+00:00Z,2023-01-01T20:00+00:00Z,10YPL-AREA-----S,MAW,B19,3943
2023-01-01T20:00+00:00Z,2023-01-01T21:00+00:00Z,10YPL-AREA-----S,MAW,B19,3451
2023-01-01T21:00+00:00Z,2023-01-01T22:00+00:00Z,10YPL-AREA-----S,MAW,B19,3009
2023-01-01T22:00+00:00Z,2023-01-01T23:00+00:00Z,10YPL-AREA-----S,MAW,B19,2742
