StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YES-REE------0,MAW,B04,2884
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YES-REE------0,MAW,B04,3092
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YES-REE------0,MAW,B04,3028
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YES-REE------0,MAW,B04,2924
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YES-REE------0,MAW,B04,2892
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YES-REE------0,MAW,B04,2952
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YES-REE------0,MAW,B04,2920
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YES-REE------0,MAW,B04,2872
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YES-REE------0,MAW,B04,2768
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YES-REE------0,MAW,B04,2724
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YES-REE------0,MAW,B04,2740
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YES-REE------0,MAW,B04,2748
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YES-REE------0,MAW,B04,2700
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YES-REE------0,MAW,B04,2652
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YES-REE------0,MAW,B04,2660
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YES-REE------0,MAW,B04,2660
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YES-REE------0,MAW,B04,2664
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YES-REE------0,MAW,B04,2628
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YES-REE------0,MAW,B04,2512
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YES-REE------0,MAW,B04,2512
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YES-REE------0,MAW,B04,2512
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YES-REE------0,MAW,B04,2500
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YES-REE------0,MAW,B04,2496
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YES-REE------0,MAW,B04,2496
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YES-REE------0,MAW,B04,2496
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YES-REE------0,MAW,B04,2488
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YES-REE------0,MAW,B04,2492
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YES-REE------0,MAW,B04,2500
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YES-REE------0,MAW,B04,2496
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YES-REE------0,MAW,B04,2496
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YES-REE------0,MAW,B04,2556
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YES-REE------0,MAW,B04,2664
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YES-REE------0,MAW,B04,2640
2023-01-01T08:00+00:00Z,2023-01-01T08:15+00:00Z,10YES-REE------0,MAW,B04,2632
2023-01-01T08:15+00:00Z,2023-01-01T08:30+00:00Z,10YES-REE------0,MAW,B04,2652
2023-01-01T08:30+00:00Z,2023-01-01T08:45+00:00Z,10YES-REE------0,MAW,B04,2604
2023-01-01T08:45+00:00Z,2023-01-01T09:00+00:00Z,10YES-REE------0,MAW,B04,2552
2023-01-01T09:00+00:00Z,2023-01-01T09:15+00:00Z,10YES-REE------0,MAW,B04,2656
2023-01-01T09:15+00:00Z,2023-01-01T09:30+00:00Z,10YES-REE------0,MAW,B04,2700
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YES-REE------0,MAW,B04,2532
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YES-REE------0,MAW,B04,2496
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YES-REE------0,MAW,B04,2772
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YES-REE------0,MAW,B04,3148
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YES-REE------0,MAW,B04,3044
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YES-REE------0,MAW,B04,3012
2023-01-01T11:00+00:00Z,2023-01-01T11:15+00:00Z,10YES-REE------0,MAW,B04,2940
2023-01-01T11:15+00:00Z,2023-01-01T11:30+00:00Z,10YES-REE------0,MAW,B04,2688
2023-01-01T11:30+00:00Z,2023-01-01T11:45+00:00Z,10YES-REE------0,MAW,B04,2684
2023-01-01T11:45+00:00Z,2023-01-01T12:00+00:00Z,10YES-REE------0,MAW,B04,2712
2023-01-01T12:00+00:00Z,2023-01-01T12:15+00:00Z,10YES-REE------0,MAW,B04,2592
2023-01-01T12:15+00:00Z,2023-01-01T12:30+00:00Z,10YES-REE------0,MAW,B04,2592
2023-01-01T12:30+00:00Z,2023-01-01T12:45+00:00Z,10YES-REE------0,MAW,B04,2736
2023-01-01T12:45+00:00Z,2023-01-01T13:00+00:00Z,10YES-REE------0,MAW,B04,2820
2023-01-01T13:00+00:00Z,2023-01-01T13:15+00:00Z,10YES-REE------0,MAW,B04,2752
2023-01-01T13:15+00:00Z,2023-01-01T13:30+00:00Z,10YES-REE------0,MAW,B04,2760
2023-01-01T13:30+00:00Z,2023-01-01T13:45+00:00Z,10YES-REE------0,MAW,B04,2848
2023-01-01T13:45+00:00Z,2023-01-01T14:00+00:00Z,10YES-REE------0,MAW,B04,2872
2023-01-01T14:00+00:00Z,2023-01-01T14:15+00:00Z,10YES-REE------0,MAW,B04,2780
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YES-REE------0,MAW,B04,2740
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YES-REE------0,MAW,B04,2792
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YES-REE------0,MAW,B04,2852
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YES-REE------0,MAW,B04,2924
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YES-REE------0,MAW,B04,3092
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YES-REE------0,MAW,B04,3572
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YES-REE------0,MAW,B04,3392
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YES-REE------0,MAW,B04,3304
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YES-REE------0,MAW,B04,3128
2023-01-01T16:30+00:00Z,2023-01-01T16:45+00:00Z,10YES-REE------0,MAW,B04,3040
2023-01-01T16:45+00:00Z,2023-01-01T17:00+00:00Z,10YES-REE------0,MAW,B04,3072
2023-01-01T17:00+00:00Z,2023-01-01T17:15+00:00Z,10YES-REE------0,MAW,B04,2680
2023-01-01T17:15+00:00Z,2023-01-01T17:30+00:00Z,10YES-REE------0,MAW,B04,2148
2023-01-01T17:30+00:00Z,2023-01-01T17:45+00:00Z,10YES-REE------0,MAW,B04,2112
2023-01-01T17:45+00:00Z,2023-01-01T18:00+00:00Z,10YES-REE------0,MAW,B04,2200
2023-01-01T18:00+00:00Z,2023-01-01T18:15+00:00Z,10YES-REE------0,MAW,B04,2200
2023-01-01T18:15+00:00Z,2023-01-01T18:30+00:00Z,10YES-REE------0,MAW,B04,2120
