StartTime,EndTime,AreaID,UnitName,Load
2023-01-01T13:45+00:00Z,2023-01-01T14:00+00:00Z,10YNL----------L,MAW,11268
2023-01-01T14:00+00:00Z,2023-01-01T14:15+00:00Z,10YNL----------L,MAW,11404
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YNL----------L,MAW,11471
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YNL----------L,MAW,11473
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YNL----------L,MAW,11474
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YNL----------L,MAW,11690
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YNL----------L,MAW,11892
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YNL----------L,MAW,12125
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YNL----------L,MAW,12346
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YNL----------L,MAW,12557
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YNL----------L,MAW,12723
2023-01-01T16:30+00:00Z,2023-01-01T16:45+00:00Z,10YNL----------L,MAW,12812
2023-01-01T16:45+00:00Z,2023-01-01T17:00+00:00Z,10YNL----------L,MAW,12735
2023-01-01T17:00+00:00Z,2023-01-01T17:15+00:00Z,10YNL----------L,MAW,12671
2023-01-01T17:15+00:00Z,2023-01-01T17:30+00:00Z,10YNL----------L,MAW,12582
2023-01-01T17:30+00:00Z,2023-01-01T17:45+00:00Z,10YNL----------L,MAW,12502
2023-01-01T17:45+00:00Z,2023-01-01T18:00+00:00Z,10YNL----------L,MAW,12434
2023-01-01T18:00+00:00Z,2023-01-01T18:15+00:00Z,10YNL----------L,MAW,12356
2023-01-01T18:15+00:00Z,2023-01-01T18:30+00:00Z,10YNL----------L,MAW,12306
2023-01-01T18:30+00:00Z,2023-01-01T18:45+00:00Z,10YNL----------L,MAW,12296
2023-01-01T18:45+00:00Z,2023-01-01T19:00+00:00Z,10YNL----------L,MAW,12204
2023-01-01T19:00+00:00Z,2023-01-01T19:15+00:00Z,10YNL----------L,MAW,12106
2023-01-01T19:15+00:00Z,2023-01-01T19:30+00:00Z,10YNL----------L,MAW,11954
2023-01-01T19:30+00:00Z,2023-01-01T19:45+00:00Z,10YNL----------L,MAW,11841
2023-01-01T19:45+00:00Z,2023-01-01T20:00+00:00Z,10YNL----------L,MAW,11734
2023-01-01T20:00+00:00Z,2023-01-01T20:15+00:00Z,10YNL----------L,MAW,11622
2023-01-01T20:15+00:00Z,2023-01-01T20:30+00:00Z,10YNL----------L,MAW,11473
2023-01-01T20:30+00:00Z,2023-01-01T20:45+00:00Z,10YNL----------L,MAW,11366
2023-01-01T20:45+00:00Z,2023-01-01T21:00+00:00Z,10YNL----------L,MAW,11228
2023-01-01T21:00+00:00Z,2023-01-01T21:15+00:00Z,10YNL----------L,MAW,11093
2023-01-01T21:15+00:00Z,2023-01-01T21:30+00:00Z,10YNL----------L,MAW,10893
2023-01-01T21:30+00:00Z,2023-01-01T21:45+00:00Z,10YNL----------L,MAW,10713
2023-01-01T21:45+00:00Z,2023-01-01T22:00+00:00Z,10YNL----------L,MAW,10577
2023-01-01T22:00+00:00Z,2023-01-01T22:15+00:00Z,10YNL----------L,MAW,10409
2023-01-01T22:15+00:00Z,2023-01-01T22:30+00:00Z,10YNL----------L,MAW,10338
2023-01-01T22:30+00:00Z,2023-01-01T22:45+00:00Z,10YNL----------L,MAW,10292
2023-01-01T22:45+00:00Z,2023-01-01T23:00+00:00Z,10YNL----------L,MAW,10230
2023-01-01T23:00+00:00Z,2023-01-01T23:15+00:00Z,10YNL----------L,MAW,10116
2023-01-01T23:15+00:00Z,2023-01-01T23:30+00:00Z,10YNL----------L,MAW,9980
2023-01-01T23:30+00:00Z,2023-01-01T23:45+00:00Z,10YNL----------L,MAW,9852
