StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YNL----------L,MAW,B17,405
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YNL----------L,MAW,B17,405
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YNL----------L,MAW,B17,411
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YNL----------L,MAW,B17,402
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YNL----------L,MAW,B17,403
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YNL----------L,MAW,B17,405
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YNL----------L,MAW,B17,402
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YNL----------L,MAW,B17,403
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YNL----------L,MAW,B17,399
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YNL----------L,MAW,B17,400
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YNL----------L,MAW,B17,400
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YNL----------L,MAW,B17,399
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YNL----------L,MAW,B17,401
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YNL----------L,MAW,B17,402
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YNL----------L,MAW,B17,399
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YNL----------L,MAW,B17,403
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YNL----------L,MAW,B17,402
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YNL----------L,MAW,B17,408
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YNL----------L,MAW,B17,408
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YNL----------L,MAW,B17,406
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YNL----------L,MAW,B17,405
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YNL----------L,MAW,B17,405
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YNL----------L,MAW,B17,410
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YNL----------L,MAW,B17,407
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YNL----------L,MAW,B17,407
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YNL----------L,MAW,B17,424
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YNL----------L,MAW,B17,414
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YNL----------L,MAW,B17,417
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YNL----------L,MAW,B17,412
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YNL----------L,MAW,B17,412
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YNL----------L,MAW,B17,417
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YNL----------L,MAW,B17,412
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YNL----------L,MAW,B17,416
2023-01-01T08:00+00:00Z,2023-01-01T08:15+00:00Z,10YNL----------L,MAW,B17,412
2023-01-01T08:15+00:00Z,2023-01-01T08:30+00:00Z,10YNL----------L,MAW,B17,412
2023-01-01T08:30+00:00Z,2023-01-01T08:45+00:00Z,10YNL----------L,MAW,B17,426
2023-01-01T08:45+00:00Z,2023-01-01T09:00+00:00Z,10YNL----------L,MAW,B17,425
2023-01-01T09:00+00:00Z,2023-01-01T09:15+00:00Z,10YNL----------L,MAW,B17,425
2023-01-01T09:15+00:00Z,2023-01-01T09:30+00:00Z,10YNL----------L,MAW,B17,428
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YNL----------L,MAW,B17,418
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YNL----------L,MAW,B17,413
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YNL----------L,MAW,B17,420
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YNL----------L,MAW,B17,415
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YNL----------L,MAW,B17,425
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YNL----------L,MAW,B17,426
2023-01-01T11:00+00:00Z,2023-01-01T11:15+00:00Z,10YNL----------L,MAW,B17,428
2023-01-01T11:15+00:00Z,2023-01-01T11:30+00:00Z,10YNL----------L,MAW,B17,426
2023-01-01T11:30+00:00Z,2023-01-01T11:45+00:00Z,10YNL----------L,MAW,B17,422
2023-01-01T11:45+00:00Z,2023-01-01T12:00+00:00Z,10YNL----------L,MAW,B17,417
2023-01-01T12:00+00:00Z,2023-01-01T12:15+00:00Z,10YNL----------L,MAW,B17,428
2023-01-01T12:15+00:00Z,2023-01-01T12:30+00:00Z,10YNL----------L,MAW,B17,421
2023-01-01T12:30+00:00Z,2023-01-01T12:45+00:00Z,10YNL----------L,MAW,B17,420
2023-01-01T12:45+00:00Z,2023-01-01T13:00+00:00Z,10YNL----------L,MAW,B17,431
2023-01-01T13:00+00:00Z,2023-01-01T13:15+00:00Z,10YNL----------L,MAW,B17,429
2023-01-01T13:15+00:00Z,2023-01-01T13:30+00:00Z,10YNL----------L,MAW,B17,432
