StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YES-REE------0,MAW,B16,16
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YES-REE------0,MAW,B16,28
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YES-REE------0,MAW,B16,20
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YES-REE------0,MAW,B16,36
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YES-REE------0,MAW,B16,128
2023-01-01T08:00+00:00Z,2023-01-01T08:15+00:00Z,10YES-REE------0,MAW,B16,356
2023-01-01T08:15+00:00Z,2023-01-01T08:30+00:00Z,10YES-REE------0,MAW,B16,676
2023-01-01T08:30+00:00Z,2023-01-01T08:45+00:00Z,10YES-REE------0,MAW,B16,1012
2023-01-01T08:45+00:00Z,2023-01-01T09:00+00:00Z,10YES-REE------0,MAW,B16,1328
2023-01-01T09:00+00:00Z,2023-01-01T09:15+00:00Z,10YES-REE------0,MAW,B16,1876
2023-01-01T09:15+00:00Z,2023-01-01T09:30+00:00Z,10YES-REE------0,MAW,B16,2392
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YES-REE------0,MAW,B16,2916
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YES-REE------0,MAW,B16,3096
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YES-REE------0,MAW,B16,3604
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YES-REE------0,MAW,B16,3944
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YES-REE------0,MAW,B16,4164
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YES-REE------0,MAW,B16,4308
2023-01-01T11:00+00:00Z,2023-01-01T11:15+00:00Z,10YES-REE------0,MAW,B16,4332
2023-01-01T11:15+00:00Z,2023-01-01T11:30+00:00Z,10YES-REE------0,MAW,B16,4408
2023-01-01T11:30+00:00Z,2023-01-01T11:45+00:00Z,10YES-REE------0,MAW,B16,4836
2023-01-01T11:45+00:00Z,2023-01-01T12:00+00:00Z,10YES-REE------0,MAW,B16,5068
2023-01-01T12:00+00:00Z,2023-01-01T12:15+00:00Z,10YES-REE------0,MAW,B16,5172
2023-01-01T12:15+00:00Z,2023-01-01T12:30+00:00Z,10YES-REE------0,MAW,B16,5172
2023-01-01T12:30+00:00Z,2023-01-01T12:45+00:00Z,10YES-REE------0,MAW,B16,5356
2023-01-01T12:45+00:00Z,2023-01-01T13:00+00:00Z,10YES-REE------0,MAW,B16,5412
2023-01-01T13:00+00:00Z,2023-01-01T13:15+00:00Z,10YES-REE------0,MAW,B16,5352
2023-01-01T13:15+00:00Z,2023-01-01T13:30+00:00Z,10YES-REE------0,MAW,B16,5216
2023-01-01T13:30+00:00Z,2023-01-01T13:45+00:00Z,10YES-REE------0,MAW,B16,5208
2023-01-01T13:45+00:00Z,2023-01-01T14:00+00:00Z,10YES-REE------0,MAW,B16,5092
2023-01-01T14:00+00:00Z,2023-01-01T14:15+00:00Z,10YES-REE------0,MAW,B16,4876
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YES-REE------0,MAW,B16,4644
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YES-REE------0,MAW,B16,4512
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YES-REE------0,MAW,B16,4176
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YES-REE------0,MAW,B16,3728
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YES-REE------0,MAW,B16,2968
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YES-REE------0,MAW,B16,2236
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YES-REE------0,MAW,B16,1640
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YES-REE------0,MAW,B16,1196
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YES-REE------0,MAW,B16,824
2023-01-01T16:30+00:00Z,2023-01-01T16:45+00:00Z,10YES-REE------0,MAW,B16,464
2023-01-01T16:45+00:00Z,2023-01-01T17:00+00:00Z,10YES-REE------0,MAW,B16,160
2023-01-01T17:00+00:00Z,2023-01-01T17:15+00:00Z,10YES-REE------0,MAW,B16,28
2023-01-01T17:15+00:00Z,2023-01-01T17:30+00:00Z,10YES-REE------0,MAW,B16,4
2023-01-01T17:30+00:00Z,2023-01-01T17:45+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T17:45+00:00Z,2023-01-01T18:00+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T18:00+00:00Z,2023-01-01T18:15+00:00Z,10YES-REE------0,MAW,B16,4
2023-01-01T18:15+00:00Z,2023-01-01T18:30+00:00Z,10YES-REE------0,MAW,B16,4
2023-01-01T18:30+00:00Z,2023-01-01T18:45+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T18:45+00:00Z,2023-01-01T19:00+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T19:00+00:00Z,2023-01-01T19:15+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T19:15+00:00Z,2023-01-01T19:30+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T19:30+00:00Z,2023-01-01T19:45+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T19:45+00:00Z,2023-01-01T20:00+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T20:00+00:00Z,2023-01-01T20:15+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T20:15+00:00Z,2023-01-01T20:30+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T20:30+00:00Z,2023-01-01T20:45+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T20:45+00:00Z,2023-01-01T21:00+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T21:00+00:00Z,2023-01-01T21:15+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T21:15+00:00Z,2023-01-01T21:30+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T21:30+00:00Z,2023-01-01T21:45+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T21:45+00:00Z,2023-01-01T22:00+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T22:00+00:00Z,2023-01-01T22:15+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T22:15+00:00Z,2023-01-01T22:30+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T22:30+00:00Z,2023-01-01T22:45+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T22:45+00:00Z,2023-01-01T23:00+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T23:00+00:00Z,2023-01-01T23:15+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T23:15+00:00Z,2023-01-01T23:30+00:00Z,10YES-REE------0,MAW,B16,0
2023-01-01T23:30+00:00Z,2023-01-01T23:45+00:00Z,10YES-REE------0,MAW,B16,0
