StartTime,EndTime,AreaID,UnitName,Load
2023-01-01T20:45+00:00Z,2023-01-01T21:00+00:00Z,10YES-REE------0,MAW,23968
2023-01-01T21:00+00:00Z,2023-01-01T21:15+00:00Z,10YES-REE------0,MAW,23668
2023-01-01T21:15+00:00Z,2023-01-01T21:30+00:00Z,10YES-REE------0,MAW,23200
2023-01-01T21:30+00:00Z,2023-01-01T21:45+00:00Z,10YES-REE------0,MAW,22776
2023-01-01T21:45+00:00Z,2023-01-01T22:00+00:00Z,10YES-REE------0,MAW,22252
2023-01-01T22:00+00:00Z,2023-01-01T22:15+00:00Z,10YES-REE------0,MAW,21728
2023-01-01T22:15+00:00Z,2023-01-01T22:30+00:00Z,10YES-REE------0,MAW,21292
2023-01-01T22:30+00:00Z,2023-01-01T22:45+00:00Z,10YES-REE------0,MAW,20716
2023-01-01T22:45+00:00Z,2023-01-01T23:00+00:00Z,10YES-REE------0,MAW,20588
2023-01-01T23:00+00:00Z,2023-01-01T23:15+00:00Z,10YES-REE------0,MAW,20116
2023-01-01T23:15+00:00Z,2023-01-01T23:30+00:00Z,10YES-REE------0,MAW,19708
2023-01-01T23:30+00:00Z,2023-01-01T23:45+00:00Z,10YES-REE------0,MAW,19316
