StartTime,EndTime,AreaID,UnitName,Load
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YHU-MAVIR----U,MAW,4165
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YHU-MAVIR----U,MAW,4222
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YHU-MAVIR----U,MAW,4344
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YHU-MAVIR----U,MAW,4462
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YHU-MAVIR----U,MAW,4546
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YHU-MAVIR----U,MAW,4561
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YHU-MAVIR----U,MAW,4585
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YHU-MAVIR----U,MAW,4575
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YHU-MAVIR----U,MAW,4570
2023-01-01T16:30+00:00Z,2023-01-01T16:45+00:00Z,10YHU-MAVIR----U,MAW,4560
2023-01-01T16:45+00:00Z,2023-01-01T17:00+00:00Z,10YHU-MAVIR----U,MAW,4568
2023-01-01T17:00+00:00Z,2023-01-01T17:15+00:00Z,10YHU-MAVIR----U,MAW,4562
2023-01-01T17:15+00:00Z,2023-01-01T17:30+00:00Z,10YHU-MAVIR----U,MAW,4556
2023-01-01T17:30+00:00Z,2023-01-01T17:45+00:00Z,10YHU-MAVIR----U,MAW,4576
2023-01-01T17:45+00:00Z,2023-01-01T18:00+00:00Z,10YHU-MAVIR----U,MAW,4587
2023-01-01T18:00+00:00Z,2023-01-01T18:15+00:00Z,10YHU-MAVIR----U,MAW,4580
2023-01-01T18:15+00:00Z,2023-01-01T18:30+00:00Z,10YHU-MAVIR----U,MAW,4580
2023-01-01T18:30+00:00Z,2023-01-01T18:45+00:00Z,10YHU-MAVIR----U,MAW,4553
2023-01-01T18:45+00:00Z,2023-01-01T19:00+00:00Z,10YHU-MAVIR----U,MAW,4538
2023-01-01T19:00+00:00Z,2023-01-01T19:15+00:00Z,10YHU-MAVIR----U,MAW,4509
2023-01-01T19:15+00:00Z,2023-01-01T19:30+00:00Z,10YHU-MAVIR----U,MAW,4501
2023-01-01T19:30+00:00Z,2023-01-01T19:45+00:00Z,10YHU-MAVIR----U,MAW,4452
2023-01-01T19:45+00:00Z,2023-01-01T20:00+00:00Z,10YHU-MAVIR----U,MAW,4411
2023-01-01T20:00+00:00Z,2023-01-01T20:15+00:00Z,10YHU-MAVIR----U,MAW,4372
2023-01-01T20:15+00:00Z,2023-01-01T20:30+00:00Z,10YHU-MAVIR----U,MAW,4310
2023-01-01T20:30+00:00Z,2023-01-01T20:45+00:00Z,10YHU-MAVIR----U,MAW,4252
2023-01-01T20:45+00:00Z,2023-01-01T21:00+00:00Z,10YHU-MAVIR----U,MAW,4207
2023-01-01T21:00+00:00Z,2023-01-01T21:15+00:00Z,10YHU-MAVIR----U,MAW,4156
2023-01-01T21:15+00:00Z,2023-01-01T21:30+00:00Z,10YHU-MAVIR----U,MAW,4098
2023-01-01T21:30+00:00Z,2023-01-01T21:45+00:00Z,10YHU-MAVIR----U,MAW,4030
2023-01-01T21:45+00:00Z,2023-01-01T22:00+00:00Z,10YHU-MAVIR----U,MAW,3975
2023-01-01T22:00+00:00Z,2023-01-01T22:15+00:00Z,10YHU-MAVIR----U,MAW,3891
2023-01-01T22:15+00:00Z,2023-01-01T22:30+00:00Z,10YHU-MAVIR----U,MAW,3862
2023-01-01T22:30+00:00Z,2023-01-01T22:45+00:00Z,10YHU-MAVIR----U,MAW,3818
2023-01-01T22:45+00:00Z,2023-01-01T23:00+00:00Z,10YHU-MAVIR----U,MAW,3702
2023-01-01T23:00+00:00Z,2023-01-01T23:15+00:00Z,10YHU-MAVIR----U,MAW,3653
2023-01-01T23:15+00:00Z,2023-01-01T23:30+00:00Z,10YHU-MAVIR----U,MAW,3642
2023-01-01T23:30+00:00Z,2023-01-01T23:45+00:00Z,10YHU-MAVIR----U,MAW,3605
